code,francais,latin,strate
ACM,Achillée millefeuille,Achillea millefolium,LATIFOLIÉS (STRATE 21)
ACP,Actée à gros pédicelles,Actaea pachypoda,LATIFOLIÉS (STRATE 21)
ACR,Actée rouge,Actaea rubra,LATIFOLIÉS (STRATE 21)
ACS,Actées,Actaea sp.,LATIFOLIÉS (STRATE 21)
ADP,Adiante pédalé,Adiantum pedatum,"FOUGÈRES, PRÊLES ET LYCOPODES (STRATE 22)"
ALT,Ail trilobé,Allium tricoccum,LATIFOLIÉS (STRATE 21)
AME,Amélanchiers,Amelanchier sp.,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
ANC,Anémone du Canada,Anemone canadensis,LATIFOLIÉS (STRATE 21)
ANG,Andromède glauque,Andromeda glaucophylla,"ESPÈCES NON COMMERCIALES ÉRICACÉES (STRATES 30, 34, 40, 50, 60)"
ANM,Anaphale marguerite,Anaphalis margaritacea,LATIFOLIÉS (STRATE 21)
APA,Apocyn à feuilles d'androsème,Apocynum androsaemifolium,LATIFOLIÉS (STRATE 21)
ARA,Ariséma rouge-foncé,Arisaema atrorubens,LATIFOLIÉS (STRATE 21)
ARH,Aralie hispide,Aralia hispida,LATIFOLIÉS (STRATE 21)
ARM,Aronia noir,Aronia melanocarpa (Pyrus melanocarpa),"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
ARN,Aralie à tige nue,Aralia nudicaulis,LATIFOLIÉS (STRATE 21)
ARR,Aralie à grappes,Aralia racemosa,LATIFOLIÉS (STRATE 21)
ARU,Arctostaphyle raisin-d'ours,Arctostaphylos uva-ursi,"ESPÈCES NON COMMERCIALES ÉRICACÉES (STRATES 30, 34, 40, 50, 60)"
ASA,Aster acuminé,Aster acuminatus,LATIFOLIÉS (STRATE 21)
ASC,Asaret du Canada,Asarum canadense,LATIFOLIÉS (STRATE 21)
ASL,Asclépiade commune,Asclepias syriaca,LATIFOLIÉS (STRATE 21)
ASM,Aster à grandes feuilles,Aster macrophyllus,LATIFOLIÉS (STRATE 21)
ASP,Aster ponceau,Aster puniceus,LATIFOLIÉS (STRATE 21)
ASS,Asters,Aster sp.,LATIFOLIÉS (STRATE 21)
ATF,Athyrium fougère-femelle,Athyrium filix-femina,"FOUGÈRES, PRÊLES ET LYCOPODES (STRATE 22)"
ATT,Athyrium fausse thélyptéride,Athyrium thelypteroides,"FOUGÈRES, PRÊLES ET LYCOPODES (STRATE 22)"
AUC,Aulne crispé,Alnus crispa var. mollis,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
AUR,Aulne rugueux,Alnus rugosa var. americana,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
BAT,Bazzanie trilobée,Bazzania trilobata,MOUSSES (STRATE 11)
BEG,Bouleau glanduleux,Betula glandulosa,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
BEP,Bouleau nain,Betula pumila,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
BOG,Bouleau à feuilles de peuplier (bouleau gris),Betula populifolia,"ESPÈCES COMMERCIALES (STRATES 30, 31, 32, 40, 50, 60)"
