CLE_ECO,REG_ECOL,LONGITUDE,LATITUDE,ALTITUDE,EXPOSITION,VERSANT,SITUATION,FORME_PENT,CLASS_PENT,FORCE_PENT,PENT_ARRI,HUMUS,HUMUS_EPAI,INDURATION,PIER_PRC,DENSITE,CLASSE_AGE,SUBMERSION,SEEPAGE
02600101,1a,-77.01962167,45.81983167,110,Totale,B,0,R,A,2,0,MU,16,NO,75,C,50,10,NON_SP
02600102,1a,-77.01765606,45.82019151,110,Totale,B,0,R,A,0,0,SO,90,NO,0,C,50,30,NON_SP
02600103,1a,-77.01524093,45.82065233,110,Totale,B,0,R,A,0,0,SO,80,NO,0,C,70,30,NON_SP
02600104,1a,-77.01273594,45.82114049,110,Totale,B,0,R,A,2,0,MU,20,NO,75,B,90,10,NON_SP
02600105,1a,-77.01037154,45.82152899,110,Totale,B,0,R,A,0,0,SO,85,NO,0,D,70,30,NON_SP
02600106,1a,-77.00608151,45.82244786,110,Totale,B,0,R,A,0,0,MU,26,NO,20,B,70,20,NON_SP
02600107,1a,-77.00444934,45.82269802,110,Totale,B,5,R,A,3,0,MU,9,NO,15,A,120,10,NON_SP
02600201,1a,-77.09819675,45.86282624,160,N,B,5,R,B,5,0,MR,3,NO,0,C,50,10,NON_SP
02600202,1a,-77.10085786,45.86118366,125,O,B,8,R,A,3,2,MR,18,NO,0,B,90,10,NON_SP
02600203,1a,-77.10303258,45.85983152,125,Totale,B,0,R,A,0,0,TO,20,NO,15,A,70,30,NON_SP
02600204,1a,-77.10473397,45.85877878,125,N,B,5,R,B,5,0,MD,8,NO,65,A,90,10,NON_SP
02600205,1a,-77.10670433,45.85759861,120,Totale,B,0,R,A,2,0,MD,5,NO,60,B,90,10,NON_SP
02600206,1a,-77.10950471,45.85578413,115,Totale,B,0,R,A,0,0,MU,12,NO,10,A,120,10,NON_SP
02600301,1a,-76.95340735,45.81304122,115,Totale,B,0,R,A,2,0,MD,4,NO,0,B,90,10,NON_SP
02600302,1a,-76.95377441,45.81546021,120,S,B,8,C,A,0,0,MD,8,NO,0,B,30,10,NON_SP
02600303,1a,-76.95404683,45.81731271,115,E,B,5,R,B,6,0,MD,5,NO,0,A,120,10,NON_SP
02600304,1a,-76.95427861,45.81891342,115,Totale,B,0,R,A,0,0,MD,7,NO,0,A,90,10,NON_SP
02600305,1a,-76.95460568,45.82115261,115,Totale,B,0,R,A,0,0,MD,6,NO,0,B,10,10,NON_SP
02600306,1a,-76.95474228,45.82212384,115,Totale,B,0,R,A,0,0,MD,6,NO,0,B,120,10,NON_SP
02600307,1a,-76.95496299,45.82394054,115,Totale,B,0,R,A,0,0,MU,2,NO,0,B,120,10,NON_SP
02600401,1a,-76.93587015,45.86098734,120,Totale,B,3,X,A,0,0,MD,9,NO,50,C,90,10,NON_SP
02600402,1a,-76.93677184,45.8626575,120,O,B,4,R,C,10,0,MD,5,NO,60,B,70,10,NON_SP
02600403,1a,-76.93789577,45.86474071,120,O,B,5,R,B,6,1,MD,10,NO,70,B,JIN,10,NON_SP
02600404,1a,-76.93901922,45.86675192,120,Totale,B,0,R,A,2,0,MD,7,NO,50,B,50,10,NON_SP
02600405,1a,-76.9399596,45.86840391,125,O,B,5,R,B,5,2,MD,12,NO,60,B,50,10,NON_SP
02600406,1a,-76.94063887,45.869607,120,N,B,4,R,B,5,0,MD,7,NO,60,B,70,10,NON_SP
02600501,1a,-77.23543597,45.98006738,215,Totale,M,0,R,A,2,0,MD,2,NO,20,A,70,10,NON_SP
02600502,1a,-77.23203124,45.9822127,210,E,M,5,R,B,8,1,MD,14,NO,35,B,90,10,NON_SP
02600503,1a,-77.22955952,45.98367713,180,E,M,5,R,D,21,1,MD,7,NO,10,A,120,10,NON_SP
02600504,1a,-77.22806134,45.98458646,170,S,M,7,C,D,18,0,MD,3,NO,20,A,90,10,NON_SP
